acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,acci_severity
451011255,497768,152952,-0.599996,51.267344,1/1/2021,jan,6,6:20:00,6,morni,E07000209,6,0,1,60,1,3,0,0,4,1,2,0,0,1,1,2,E01030501,1,1,3
451011279,488543,132837,-0.737137,51.088019,1/1/2021,jan,6,16:54:00,16,after,E07000216,3,287,6,30,0,0,0,0,4,1,2,0,0,1,1,2,E01030926,1,1,3
451011351,499807,158833,-0.569138,51.319857,1/2/2021,jan,7,12:28:00,12,after,E07000217,6,0,6,30,9,6,0,0,1,1,2,0,0,1,2,2,E01030969,1,2,3
451011377,520498,165034,-0.270253,51.371587,1/2/2021,jan,7,18:29:00,18,eveni,E07000208,3,240,3,40,6,3,0,5,4,1,1,0,0,1,1,2,E01030393,4,2,2
451011382,485350,148638,-0.778974,51.230556,1/2/2021,jan,7,19:00:00,19,eveni,E07000216,4,3007,6,30,0,0,0,0,4,1,2,0,0,1,1,2,E01030902,1,1,3
451011457,531621,149206,-0.116375,51.226875,1/3/2021,jan,1,20:17:00,20,eveni,E07000215,1,23,3,70,0,0,0,0,6,2,2,0,0,2,1,1,E01030814,1,1,3
451011466,499444,150473,-0.576668,51.24477,1/3/2021,jan,1,18:33:00,18,eveni,E07000209,3,322,6,30,3,6,0,0,4,1,2,0,0,1,1,2,E01030450,1,2,3
451011728,486809,161401,-0.754985,51.345073,1/4/2021,jan,2,17:51:00,17,after,E07000214,6,0,6,30,0,0,0,0,6,2,2,0,2,2,1,2,E01030801,1,1,3
451011733,503427,137777,-0.523275,51.129938,1/4/2021,jan,2,16:32:00,16,after,E07000216,3,281,6,60,0,0,0,0,6,1,2,0,0,2,1,2,E01030862,3,2,1
451011982,501445,152406,-0.547462,51.261794,1/5/2021,jan,3,11:40:00,11,morni,E07000209,3,3100,1,40,1,6,0,0,1,1,2,0,0,1,1,2,E01030434,1,2,3
451012054,503663,172298,-0.509899,51.440201,1/5/2021,jan,3,18:10:00,18,eveni,E07000213,3,30,3,40,0,0,0,0,4,2,2,0,0,2,1,1,E01030736,1,2,3
451012278,503052,171393,-0.51895,51.432178,1/5/2021,jan,3,15:10:00,15,after,E07000212,4,3376,6,30,0,0,0,0,1,4,2,0,0,1,2,2,E01030666,1,1,2
451012299,540128,153991,0.00725,51.267852,1/5/2021,jan,3,19:45:00,19,eveni,E07000215,1,25,3,70,0,0,0,0,4,2,2,0,0,2,1,1,E01030831,2,5,3
