acci_severity,row,acci_ref,loc_east_osgr,loc_nor_osgr,longitude,latitude,date,_months_,day_of_week,time,hour_of_day,time_category,loc_auth_ons_distr,first_road_class,first_road_num,road_type,speed_limit,junc_detail,sec_road_class,ped_cross_hum_con,ped_cross_phy_facil,light_con,weath_con,road_surf_con,spec_con_site,carri_haz,urb_or_rur_area,did_poli_offi_att,tru_road_flag,lsoa_of_acc_loc,num_of_casu,num_of_vehi,junc_detail_d,ped_cross_hum_con_d,ped_cross_phy_facil_d,carri_haz_d,light_con_d,road_surf_con_d,road_type_d,spec_con_site_d,weath_con_d,urb_or_rur_d,NumberHits,ExpectedHits,SamplingWeight,constant,NumberHits2,ExpectedHits2,SamplingWeight2
1,1,451026899,503411,169792,-0.514254,51.417721,3/9/2021,mar,3,51:00.0,8,morni,E07000212,3,320,6,40,0,0,0,8,1,1,1,0,0,1,1,2,E01030686,1,1,Not at junction or within 20 metres,None within 50 metres,Central refuge,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,1,1,1
1,1,451057723,502961,159348,-0.523744,51.323924,6/21/2021,jun,2,02:00.0,0,night,E07000217,4,382,6,40,0,0,0,0,4,1,1,0,0,2,1,2,E01030996,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Darkness - lights lit,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,1,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,2,1,1
1,1,451064876,540149,151803,0.006694,51.248184,7/10/2021,jul,7,28:00.0,11,morni,E07000215,6,0,6,30,3,6,0,0,1,1,2,0,0,1,1,2,E01030841,1,3,T or staggered junction,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Fine no high winds,Urban,1,1,1,1,2,1,1
1,1,451073352,490749,133348,-0.705519,51.092269,7/30/2021,jul,6,40:00.0,13,after,E07000216,3,286,6,40,0,0,0,0,1,2,2,0,0,1,1,2,E01030933,3,4,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Wet or damp,Single carriageway,None,Raining no high winds,Urban,1,1,1,1,1,1,1
1,1,451074088,528135,146502,-0.167236,51.203365,8/5/2021,aug,5,15:00.0,9,morni,E07000211,3,23,3,40,0,0,0,4,1,1,1,0,0,1,1,2,E01030629,3,3,Not at junction or within 20 metres,None within 50 metres,"Pelican, puffin, toucan or similar non-junction",None,Daylight,Dry,Dual carriageway,None,Fine no high winds,Urban,2,1,1,1,1,1,1
1,1,451076994,490518,154620,-0.703465,51.283536,8/14/2021,aug,7,30:00.0,14,after,E07000209,6,0,6,40,0,0,0,0,1,1,1,0,0,2,1,2,E01030466,1,1,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,1,1,1,1,1,1,1
1,1,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,3,1,1
1,1,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,3,1,1
1,1,451092417,508315,137440,-0.453547,51.126006,9/27/2021,sep,2,17:00.0,18,eveni,E07000216,4,2128,6,60,0,0,0,0,1,1,1,0,0,2,1,2,E01030862,1,2,Not at junction or within 20 metres,None within 50 metres,No physical crossing facilities within 50 metres,None,Daylight,Dry,Single carriageway,None,Fine no high winds,Rural,3,1,1,1,3,1,1
